image,width,height,pixels,edge_pixels,edge_ratio,gpu_ms
synthetic_0000.pgm,256,256,65536,49067,0.748703,0.014336
synthetic_0001.pgm,256,256,65536,45881,0.700089,0.014304
synthetic_0002.pgm,256,256,65536,41816,0.638062,0.014688
synthetic_0003.pgm,256,256,65536,38497,0.587418,0.014336
synthetic_0004.pgm,256,256,65536,35636,0.543762,0.014048
synthetic_0005.pgm,256,256,65536,33223,0.506943,0.014304
synthetic_0006.pgm,256,256,65536,31109,0.474686,0.014336
synthetic_0007.pgm,256,256,65536,29294,0.446991,0.012928
synthetic_0008.pgm,256,256,65536,27659,0.422043,0.013952
synthetic_0009.pgm,256,256,65536,26309,0.401443,0.026624
synthetic_0010.pgm,256,256,65536,24946,0.380646,0.014752
synthetic_0011.pgm,256,256,65536,48881,0.745865,0.014016
synthetic_0012.pgm,256,256,65536,45809,0.698990,0.014208
synthetic_0013.pgm,256,256,65536,41890,0.639191,0.013728
synthetic_0014.pgm,256,256,65536,38612,0.589172,0.014368
synthetic_0015.pgm,256,256,65536,35634,0.543732,0.013888
synthetic_0016.pgm,256,256,65536,33245,0.507278,0.013312
synthetic_0017.pgm,256,256,65536,30831,0.470444,0.014144
synthetic_0018.pgm,256,256,65536,28813,0.439651,0.013376
synthetic_0019.pgm,256,256,65536,26835,0.409470,0.013184
synthetic_0020.pgm,256,256,65536,25509,0.389236,0.012896
synthetic_0021.pgm,256,256,65536,24189,0.369095,0.014112
synthetic_0022.pgm,256,256,65536,47829,0.729813,0.013120
synthetic_0023.pgm,256,256,65536,45667,0.696823,0.014304
synthetic_0024.pgm,256,256,65536,42009,0.641006,0.012704
synthetic_0025.pgm,256,256,65536,38665,0.589981,0.013216
synthetic_0026.pgm,256,256,65536,35785,0.546036,0.013536
synthetic_0027.pgm,256,256,65536,33352,0.508911,0.014304
synthetic_0028.pgm,256,256,65536,31245,0.476761,0.054560
synthetic_0029.pgm,256,256,65536,29477,0.449783,0.012544
synthetic_0030.pgm,256,256,65536,27777,0.423843,0.012768
synthetic_0031.pgm,256,256,65536,26280,0.401001,0.014336
synthetic_0032.pgm,256,256,65536,24998,0.381439,0.014240
synthetic_0033.pgm,256,256,65536,49056,0.748535,0.013984
synthetic_0034.pgm,256,256,65536,45753,0.698135,0.013120
synthetic_0035.pgm,256,256,65536,41934,0.639862,0.034816
synthetic_0036.pgm,256,256,65536,38563,0.588425,0.013664
synthetic_0037.pgm,256,256,65536,35601,0.543228,0.014240
synthetic_0038.pgm,256,256,65536,33224,0.506958,0.014336
synthetic_0039.pgm,256,256,65536,31049,0.473770,0.013952
synthetic_0040.pgm,256,256,65536,29309,0.447220,0.014336
synthetic_0041.pgm,256,256,65536,27700,0.422668,0.014368
synthetic_0042.pgm,256,256,65536,26265,0.400772,0.013952
synthetic_0043.pgm,256,256,65536,24908,0.380066,0.014080
synthetic_0044.pgm,256,256,65536,48258,0.736359,0.012960
synthetic_0045.pgm,256,256,65536,44964,0.686096,0.014368
synthetic_0046.pgm,256,256,65536,41732,0.636780,0.013984
synthetic_0047.pgm,256,256,65536,38330,0.584869,0.014368
synthetic_0048.pgm,256,256,65536,35578,0.542877,0.013920
synthetic_0049.pgm,256,256,65536,33053,0.504349,0.013952
synthetic_0050.pgm,256,256,65536,30885,0.471268,0.014336
synthetic_0051.pgm,256,256,65536,29179,0.445236,0.014080
synthetic_0052.pgm,256,256,65536,27661,0.422073,0.014336
synthetic_0053.pgm,256,256,65536,26211,0.399948,0.013984
synthetic_0054.pgm,256,256,65536,24930,0.380402,0.013248
synthetic_0055.pgm,256,256,65536,48885,0.745926,0.014336
synthetic_0056.pgm,256,256,65536,45679,0.697006,0.012864
synthetic_0057.pgm,256,256,65536,41867,0.638840,0.020416
synthetic_0058.pgm,256,256,65536,38631,0.589462,0.012928
synthetic_0059.pgm,256,256,65536,35680,0.544434,0.014816
synthetic_0060.pgm,256,256,65536,33348,0.508850,0.013184
synthetic_0061.pgm,256,256,65536,31307,0.477707,0.013696
